,index,composer_name,composer_gender,name,path,set_id,composer_path,desc,sets,scores,scores_paths,track_names,contains_piano_track?,type0_path
0,0,Jane Bingham Abbott,female,Just for Today,"Abbott,_Jane_Bingham/_/Just_for_Today",5106766.0,"Abbott,_Jane_Bingham","US pianist, singer and composer",1.0,2.0,"../Lieder/scores/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid_type0.mid"
1,1,Jane Bingham Abbott,female,Think of Today,"Abbott,_Jane_Bingham/_/Think_of_Today",5106766.0,"Abbott,_Jane_Bingham","US pianist, singer and composer",1.0,2.0,"../Lieder/scores/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid_type0.mid"
2,2,Harriett Abrams,female,Crazy Jane,"Abrams,_Harriett/_/Crazy_Jane",5106769.0,"Abrams,_Harriett","English musician, singer, composer",1.0,2.0,"../Lieder/scores/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid_type0.mid"
3,3,Harriett Abrams,female,The Orphan’s Prayer,"Abrams,_Harriett/_/The_Orphan’s_Prayer",5106769.0,"Abrams,_Harriett","English musician, singer, composer",1.0,2.0,"../Lieder/scores/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid_type0.mid"
9,9,Charlotte Alington Barnard,female,Farewell to Erin,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin/lc6623221.mid","['voice', 'voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin/lc6623221.mid_type0.mid"
10,10,Charlotte Alington Barnard,female,Five o’clock in the morning,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning/lc6623145.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning/lc6623145.mid_type0.mid"
11,11,Charlotte Alington Barnard,female,Milly’s Faith,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith/lc6622814.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith/lc6622814.mid_type0.mid"
12,12,Charlotte Alington Barnard,female,Strangers Yet,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet/lc6585571.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet/lc6585571.mid_type0.mid"
13,13,Charlotte Alington Barnard,female,The Brook,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook/lc6586675.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook/lc6586675.mid_type0.mid"
14,14,Joseph Barnby,male,The Beggar Maid,"Barnby,_Joseph/_/The_Beggar_Maid",5105982.0,"Barnby,_Joseph",British musician,1.0,2.0,"../Lieder/scores/Barnby,_Joseph/_/The_Beggar_Maid/lc6478624.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnby,_Joseph/_/The_Beggar_Maid/lc6478624.mid_type0.mid"
15,15,Joseph Barnby,male,To England,"Barnby,_Joseph/_/To_England",5105982.0,"Barnby,_Joseph",British musician,1.0,2.0,"../Lieder/scores/Barnby,_Joseph/_/To_England/lc6479829.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnby,_Joseph/_/To_England/lc6479829.mid_type0.mid"
16,16,Ethel Barns,female,"Sleep, Weary Heart","Barns,_Ethel/_/Sleep,_Weary_Heart",5106884.0,"Barns,_Ethel",British composer and violinist,1.0,1.0,"../Lieder/scores/Barns,_Ethel/_/Sleep,_Weary_Heart/lc6586696.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barns,_Ethel/_/Sleep,_Weary_Heart/lc6586696.mid_type0.mid"
17,17,Amy Beach,female,The Year’s at the Spring,"Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring",5103537.0,"Beach,_Amy",American composer and pianist,3.0,10.0,"../Lieder/scores/Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring/lc6212179.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring/lc6212179.mid_type0.mid"
18,18,Amy Beach,female,"Ah, Love, but a Day!","Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!",5103537.0,"Beach,_Amy",American composer and pianist,3.0,10.0,"../Lieder/scores/Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!/lc6212193.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Beach,_Amy/3_Browning_Songs,_Op.44/2_Ah,_Love,_but_a_Day!/lc6212193.mid_type0.mid"
19,19,Amy Beach,female,I Send My Heart up to Thee!,"Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!",5103537.0,"Beach,_Amy",American composer and pianist,3.0,10.0,"../Lieder/scores/Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!/lc6212196.mid","['voice', 'voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Beach,_Amy/3_Browning_Songs,_Op.44/3_I_Send_My_Heart_up_to_Thee!/lc6212196.mid_type0.mid"
20,20,Amy Beach,female,O Mistress Mine,"Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine",5106666.0,"Beach,_Amy",American composer and pianist,3.0,10.0,"../Lieder/scores/Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine/lc6564424.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine/lc6564424.mid_type0.mid"
21,21,Amy Beach,female,"Take, O Take those Lips Away","Beach,_Amy/3_Shakespeare_Songs,_Op.37/2_Take,_O_Take_those_Lips_Away",5106666.0,"Beach,_Amy",American composer and pianist,3.0,10.0,"../Lieder/scores/Beach,_Amy/3_Shakespeare_Songs,_Op.37/2_Take,_O_Take_those_Lips_Away/lc6564767.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Beach,_Amy/3_Shakespeare_Songs,_Op.37/2_Take,_O_Take_those_Lips_Away/lc6564767.mid_type0.mid"
