,index,composer_name,composer_gender,name,path,set_id,composer_path,desc,sets,scores,scores_paths,track_names,contains_piano_track?,type0_path
0,0,Jane Bingham Abbott,female,Just for Today,"Abbott,_Jane_Bingham/_/Just_for_Today",5106766.0,"Abbott,_Jane_Bingham","US pianist, singer and composer",1.0,2.0,"../Lieder/scores/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid_type0.mid"
1,1,Jane Bingham Abbott,female,Think of Today,"Abbott,_Jane_Bingham/_/Think_of_Today",5106766.0,"Abbott,_Jane_Bingham","US pianist, singer and composer",1.0,2.0,"../Lieder/scores/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid_type0.mid"
4,4,Granville Bantock,male,The Old Fisherman of the Mists and Waters,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid_type0.mid"
5,5,Granville Bantock,male,The Ghost Road,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/2_The_Ghost_Road",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/2_The_Ghost_Road/lc6211549.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/2_The_Ghost_Road/lc6211549.mid_type0.mid"
6,6,Granville Bantock,male,Under the Moon,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/3_Under_the_Moon",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/3_Under_the_Moon/lc6211555.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/3_Under_the_Moon/lc6211555.mid_type0.mid"
7,7,Granville Bantock,male,The Celestial Weaver,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/4_The_Celestial_Weaver",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/4_The_Celestial_Weaver/lc6211559.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/4_The_Celestial_Weaver/lc6211559.mid_type0.mid"
8,8,Granville Bantock,male,Return of Spring,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/5_Return_of_Spring",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/5_Return_of_Spring/lc6211561.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/5_Return_of_Spring/lc6211561.mid_type0.mid"
9,9,Charlotte Alington Barnard,female,Farewell to Erin,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin/lc6623221.mid","['voice', 'voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin/lc6623221.mid_type0.mid"
10,10,Charlotte Alington Barnard,female,Five o’clock in the morning,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning/lc6623145.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning/lc6623145.mid_type0.mid"
11,11,Charlotte Alington Barnard,female,Milly’s Faith,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith/lc6622814.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith/lc6622814.mid_type0.mid"
12,12,Charlotte Alington Barnard,female,Strangers Yet,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet/lc6585571.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet/lc6585571.mid_type0.mid"
13,13,Charlotte Alington Barnard,female,The Brook,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook/lc6586675.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook/lc6586675.mid_type0.mid"
14,14,Joseph Barnby,male,The Beggar Maid,"Barnby,_Joseph/_/The_Beggar_Maid",5105982.0,"Barnby,_Joseph",British musician,1.0,2.0,"../Lieder/scores/Barnby,_Joseph/_/The_Beggar_Maid/lc6478624.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnby,_Joseph/_/The_Beggar_Maid/lc6478624.mid_type0.mid"
15,15,Joseph Barnby,male,To England,"Barnby,_Joseph/_/To_England",5105982.0,"Barnby,_Joseph",British musician,1.0,2.0,"../Lieder/scores/Barnby,_Joseph/_/To_England/lc6479829.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnby,_Joseph/_/To_England/lc6479829.mid_type0.mid"
16,16,Ethel Barns,female,"Sleep, Weary Heart","Barns,_Ethel/_/Sleep,_Weary_Heart",5106884.0,"Barns,_Ethel",British composer and violinist,1.0,1.0,"../Lieder/scores/Barns,_Ethel/_/Sleep,_Weary_Heart/lc6586696.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barns,_Ethel/_/Sleep,_Weary_Heart/lc6586696.mid_type0.mid"
17,17,Amy Beach,female,The Year’s at the Spring,"Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring",5103537.0,"Beach,_Amy",American composer and pianist,3.0,10.0,"../Lieder/scores/Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring/lc6212179.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Beach,_Amy/3_Browning_Songs,_Op.44/1_The_Year’s_at_the_Spring/lc6212179.mid_type0.mid"
